IdMeasurePoint;Timestamp;Season;Imported;Exported;R1;R2;R3;R4
40294;2025-04-08T01:00:00+02:00;E;1,213;0,000;0,576;0,000;0,000;0,000
40294;2025-04-08T02:00:00+02:00;E;1,051;0,000;0,549;0,000;0,000;0,000
40294;2025-04-08T03:00:00+02:00;E;1,018;0,000;0,492;0,000;0,000;0,000
40294;2025-04-08T04:00:00+02:00;E;1,105;0,000;0,626;0,000;0,000;0,000
40294;2025-04-08T05:00:00+02:00;E;3,192;0,000;2,108;0,000;0,000;0,000
40294;2025-04-08T06:00:00+02:00;E;4,514;0,000;3,082;0,000;0,000;0,000
40294;2025-04-08T07:00:00+02:00;E;1,389;0,000;0,792;0,000;0,000;0,000
40294;2025-04-08T08:00:00+02:00;E;0,964;0,000;0,376;0,000;0,000;0,000
40294;2025-04-08T09:00:00+02:00;E;5,371;0,000;0,768;0,000;0,000;0,000
40294;2025-04-08T10:00:00+02:00;E;5,411;0,000;0,785;0,000;0,000;0,000
40294;2025-04-08T11:00:00+02:00;E;5,445;0,000;0,822;0,000;0,000;0,000
40294;2025-04-08T12:00:00+02:00;E;5,431;0,000;0,786;0,000;0,000;0,000
40294;2025-04-08T13:00:00+02:00;E;5,646;0,000;1,144;0,000;0,000;0,000
40294;2025-04-08T14:00:00+02:00;E;5,497;0,000;0,878;0,000;0,000;0,000
40294;2025-04-08T15:00:00+02:00;E;5,644;0,000;1,086;0,000;0,000;0,000
40294;2025-04-08T16:00:00+02:00;E;5,406;0,000;0,767;0,000;0,000;0,000
40294;2025-04-08T17:00:00+02:00;E;6,176;0,000;1,188;0,000;0,000;0,000
40294;2025-04-08T18:00:00+02:00;E;6,782;0,000;1,103;0,000;0,000;0,000
40294;2025-04-08T19:00:00+02:00;E;6,691;0,000;1,267;0,000;0,000;0,000
40294;2025-04-08T20:00:00+02:00;E;6,466;0,000;1,025;0,000;0,000;0,000
40294;2025-04-08T21:00:00+02:00;E;8,785;0,000;2,099;0,000;0,000;0,000
40294;2025-04-08T22:00:00+02:00;E;8,931;0,000;2,311;0,000;0,000;0,000
40294;2025-04-08T23:00:00+02:00;E;4,316;0,000;2,020;0,000;0,000;0,000
40294;2025-04-09T00:00:00+02:00;E;1,974;0,000;1,022;0,000;0,000;0,000
43455;2025-04-08T01:00:00+02:00;E;4,672;0,000;0,000;0,000;0,000;1,194
43455;2025-04-08T02:00:00+02:00;E;4,728;0,000;0,000;0,000;0,000;1,157
43455;2025-04-08T03:00:00+02:00;E;4,561;0,000;0,000;0,000;0,000;1,296
43455;2025-04-08T04:00:00+02:00;E;4,703;0,000;0,000;0,000;0,000;1,257
43455;2025-04-08T05:00:00+02:00;E;4,669;0,000;0,000;0,000;0,000;1,107
43455;2025-04-08T06:00:00+02:00;E;4,584;0,000;0,000;0,000;0,000;1,319
43455;2025-04-08T07:00:00+02:00;E;6,446;0,000;0,593;0,000;0,000;0,088
43455;2025-04-08T08:00:00+02:00;E;9,312;0,000;2,317;0,000;0,000;0,289
43455;2025-04-08T09:00:00+02:00;E;21,182;0,000;10,793;0,000;0,000;0,000
43455;2025-04-08T10:00:00+02:00;E;22,166;0,000;11,988;0,000;0,000;0,000
43455;2025-04-08T11:00:00+02:00;E;15,371;0,000;5,779;0,000;0,000;0,000
43455;2025-04-08T12:00:00+02:00;E;24,023;0,000;10,580;0,000;0,000;0,000
43455;2025-04-08T13:00:00+02:00;E;16,245;0,000;6,406;0,000;0,000;0,000
43455;2025-04-08T14:00:00+02:00;E;18,488;0,000;8,268;0,000;0,000;0,000
43455;2025-04-08T15:00:00+02:00;E;13,903;0,000;3,114;0,000;0,000;0,093
43455;2025-04-08T16:00:00+02:00;E;11,198;0,000;3,154;0,000;0,000;0,000
43455;2025-04-08T17:00:00+02:00;E;9,968;0,000;2,455;0,000;0,000;0,000
43455;2025-04-08T18:00:00+02:00;E;8,406;0,000;0,177;0,000;0,000;0,646
43455;2025-04-08T19:00:00+02:00;E;6,794;0,000;0,002;0,000;0,000;0,466
43455;2025-04-08T20:00:00+02:00;E;5,844;0,000;0,023;0,000;0,000;0,625
43455;2025-04-08T21:00:00+02:00;E;5,249;0,000;0,000;0,000;0,000;1,432
43455;2025-04-08T22:00:00+02:00;E;5,382;0,000;0,010;0,000;0,000;0,952
43455;2025-04-08T23:00:00+02:00;E;4,736;0,000;0,000;0,000;0,000;1,236
43455;2025-04-09T00:00:00+02:00;E;4,712;0,000;0,000;0,000;0,000;1,134
24065;2025-04-08T01:00:00+02:00;E;0,165;0,000;0,002;0,000;0,000;0,066
24065;2025-04-08T02:00:00+02:00;E;0,159;0,000;0,001;0,000;0,000;0,062
24065;2025-04-08T03:00:00+02:00;E;0,175;0,000;0,002;0,000;0,000;0,062
24065;2025-04-08T04:00:00+02:00;E;0,244;0,000;0,003;0,000;0,000;0,060
24065;2025-04-08T05:00:00+02:00;E;0,239;0,000;0,002;0,000;0,000;0,060
24065;2025-04-08T06:00:00+02:00;E;0,247;0,000;0,002;0,000;0,000;0,059
24065;2025-04-08T07:00:00+02:00;E;0,453;0,000;0,119;0,000;0,000;0,042
24065;2025-04-08T08:00:00+02:00;E;1,060;0,000;0,316;0,000;0,000;0,000
24065;2025-04-08T09:00:00+02:00;E;1,634;0,000;0,339;0,000;0,000;0,000
24065;2025-04-08T10:00:00+02:00;E;0,351;0,000;0,355;0,000;0,000;0,000
24065;2025-04-08T11:00:00+02:00;E;0,183;0,015;0,236;0,098;0,000;0,000
24065;2025-04-08T12:00:00+02:00;E;0,009;0,097;0,055;0,301;0,000;0,000
24065;2025-04-08T13:00:00+02:00;E;0,002;0,196;0,002;0,369;0,000;0,000
24065;2025-04-08T14:00:00+02:00;E;0,002;0,179;0,002;0,354;0,000;0,000
24065;2025-04-08T15:00:00+02:00;E;0,430;0,097;0,117;0,235;0,000;0,000
24065;2025-04-08T16:00:00+02:00;E;0,087;0,024;0,207;0,146;0,000;0,000
24065;2025-04-08T17:00:00+02:00;E;0,230;0,000;0,369;0,000;0,000;0,000
24065;2025-04-08T18:00:00+02:00;E;0,484;0,000;0,370;0,000;0,000;0,000
24065;2025-04-08T19:00:00+02:00;E;0,812;0,000;0,355;0,000;0,000;0,000
24065;2025-04-08T20:00:00+02:00;E;1,501;0,000;0,330;0,000;0,000;0,003
24065;2025-04-08T21:00:00+02:00;E;0,927;0,000;0,010;0,000;0,000;0,052
24065;2025-04-08T22:00:00+02:00;E;0,432;0,000;0,001;0,000;0,000;0,113
24065;2025-04-08T23:00:00+02:00;E;0,486;0,000;0,000;0,000;0,000;0,083
24065;2025-04-09T00:00:00+02:00;E;3,209;0,000;0,000;0,000;0,000;0,557
10382;2025-04-08T01:00:00+02:00;E;0,164;0,000;0,000;0,000;0,000;0,373
10382;2025-04-08T02:00:00+02:00;E;0,108;0,000;0,000;0,000;0,000;0,386
10382;2025-04-08T03:00:00+02:00;E;0,098;0,000;0,000;0,000;0,000;0,395
10382;2025-04-08T04:00:00+02:00;E;0,130;0,000;0,000;0,000;0,000;0,395
10382;2025-04-08T05:00:00+02:00;E;0,133;0,000;0,000;0,000;0,000;0,387
10382;2025-04-08T06:00:00+02:00;E;0,219;0,000;0,000;0,000;0,000;0,297
10382;2025-04-08T07:00:00+02:00;E;0,392;0,000;0,016;0,000;0,000;0,080
10382;2025-04-08T08:00:00+02:00;E;0,533;0,000;0,115;0,000;0,000;0,140
10382;2025-04-08T09:00:00+02:00;E;0,101;0,000;0,000;0,000;0,000;0,357
10382;2025-04-08T10:00:00+02:00;E;0,096;0,000;0,000;0,000;0,000;0,364
10382;2025-04-08T11:00:00+02:00;E;0,087;0,000;0,000;0,000;0,000;0,373
10382;2025-04-08T12:00:00+02:00;E;0,090;0,000;0,000;0,000;0,000;0,372
10382;2025-04-08T13:00:00+02:00;E;0,101;0,000;0,000;0,000;0,000;0,368
10382;2025-04-08T14:00:00+02:00;E;0,142;0,000;0,000;0,000;0,000;0,371
10382;2025-04-08T15:00:00+02:00;E;0,113;0,000;0,000;0,000;0,000;0,378
10382;2025-04-08T16:00:00+02:00;E;0,095;0,000;0,000;0,000;0,000;0,370
10382;2025-04-08T17:00:00+02:00;E;0,103;0,000;0,000;0,000;0,000;0,365
10382;2025-04-08T18:00:00+02:00;E;0,101;0,000;0,000;0,000;0,000;0,368
10382;2025-04-08T19:00:00+02:00;E;0,136;0,000;0,000;0,000;0,000;0,380
10382;2025-04-08T20:00:00+02:00;E;0,128;0,000;0,000;0,000;0,000;0,379
10382;2025-04-08T21:00:00+02:00;E;0,373;0,000;0,000;0,000;0,000;0,113
10382;2025-04-08T22:00:00+02:00;E;0,472;0,000;0,000;0,000;0,000;0,190
10382;2025-04-08T23:00:00+02:00;E;0,142;0,000;0,000;0,000;0,000;0,386
10382;2025-04-09T00:00:00+02:00;E;0,107;0,000;0,000;0,000;0,000;0,390
9228;2025-04-08T01:00:00+02:00;E;1,074;0,000;0,754;0,000;0,000;0,007
9228;2025-04-08T02:00:00+02:00;E;0,313;0,000;0,125;0,000;0,000;0,142
9228;2025-04-08T03:00:00+02:00;E;0,190;0,000;0,000;0,000;0,000;0,167
9228;2025-04-08T04:00:00+02:00;E;0,154;0,000;0,000;0,000;0,000;0,162
9228;2025-04-08T05:00:00+02:00;E;0,115;0,000;0,000;0,000;0,000;0,155
9228;2025-04-08T06:00:00+02:00;E;0,176;0,000;0,000;0,000;0,000;0,150
9228;2025-04-08T07:00:00+02:00;E;0,120;0,000;0,000;0,000;0,000;0,152
9228;2025-04-08T08:00:00+02:00;E;0,071;0,010;0,000;0,000;0,016;0,102
9228;2025-04-08T09:00:00+02:00;E;0,000;0,544;0,000;0,000;0,074;0,000
9228;2025-04-08T10:00:00+02:00;E;0,002;1,181;0,004;0,007;0,070;0,000
9228;2025-04-08T11:00:00+02:00;E;0,000;1,268;0,001;0,009;0,078;0,000
9228;2025-04-08T12:00:00+02:00;E;0,000;1,331;0,000;0,023;0,061;0,000
