IdMeasurePoint,Timestamp,Imported,Exported,R1,R2,R3,R4
40294,2025-03-30T01:00:00+01:00,0.787,0.0,0.39,0.0,0.0,0.0
40294,2025-03-30T03:00:00+02:00,0.829,0.0,0.45,0.0,0.0,0.0
40294,2025-03-30T04:00:00+02:00,0.818,0.0,0.443,0.0,0.0,0.0
40294,2025-03-30T05:00:00+02:00,0.757,0.0,0.349,0.0,0.0,0.0
40294,2025-03-30T06:00:00+02:00,0.854,0.0,0.498,0.0,0.0,0.0
40294,2025-03-30T07:00:00+02:00,0.806,0.0,0.431,0.0,0.0,0.0
40294,2025-03-30T08:00:00+02:00,0.7,0.0,0.347,0.0,0.0,0.0
40294,2025-03-30T09:00:00+02:00,0.751,0.0,0.627,0.0,0.0,0.0
40294,2025-03-30T10:00:00+02:00,2.598,0.0,0.49,0.0,0.0,0.001
40294,2025-03-30T11:00:00+02:00,4.903,0.0,0.432,0.0,0.0,0.0
40294,2025-03-30T12:00:00+02:00,3.267,0.0,0.602,0.0,0.0,0.0
40294,2025-03-30T13:00:00+02:00,0.787,0.0,0.578,0.0,0.0,0.0
40294,2025-03-30T14:00:00+02:00,0.731,0.0,0.502,0.0,0.0,0.0
40294,2025-03-30T15:00:00+02:00,0.762,0.0,0.545,0.0,0.0,0.0
40294,2025-03-30T16:00:00+02:00,1.12,0.0,0.713,0.0,0.0,0.0
40294,2025-03-30T17:00:00+02:00,6.113,0.0,0.603,0.0,0.0,0.0
40294,2025-03-30T18:00:00+02:00,6.388,0.0,0.806,0.0,0.0,0.0
40294,2025-03-30T19:00:00+02:00,3.06,0.0,0.804,0.0,0.0,0.0
40294,2025-03-30T20:00:00+02:00,1.278,0.0,0.947,0.0,0.0,0.0
40294,2025-03-30T21:00:00+02:00,2.962,0.0,1.612,0.0,0.0,0.0
40294,2025-03-30T22:00:00+02:00,3.135,0.0,1.665,0.0,0.0,0.0
40294,2025-03-30T23:00:00+02:00,3.157,0.0,1.74,0.0,0.0,0.0
40294,2025-03-31T00:00:00+02:00,2.157,0.0,1.09,0.0,0.0,0.0
43455,2025-03-30T01:00:00+01:00,4.473,0.0,0.0,0.0,0.0,1.346
43455,2025-03-30T03:00:00+02:00,4.552,0.0,0.0,0.0,0.0,1.294
43455,2025-03-30T04:00:00+02:00,4.634,0.0,0.0,0.0,0.0,1.275
43455,2025-03-30T05:00:00+02:00,4.484,0.0,0.0,0.0,0.0,1.362
43455,2025-03-30T06:00:00+02:00,4.617,0.0,0.0,0.0,0.0,1.265
43455,2025-03-30T07:00:00+02:00,4.508,0.0,0.0,0.0,0.0,1.334
43455,2025-03-30T08:00:00+02:00,3.548,0.0,0.0,0.0,0.0,1.333
43455,2025-03-30T09:00:00+02:00,2.614,0.0,0.0,0.0,0.0,1.272
43455,2025-03-30T10:00:00+02:00,2.426,0.0,0.0,0.0,0.0,1.231
43455,2025-03-30T11:00:00+02:00,2.364,0.0,0.0,0.0,0.0,1.249
43455,2025-03-30T12:00:00+02:00,2.234,0.0,0.0,0.0,0.0,1.215
43455,2025-03-30T13:00:00+02:00,2.473,0.0,0.0,0.0,0.0,1.245
43455,2025-03-30T14:00:00+02:00,2.417,0.0,0.0,0.0,0.0,1.207
43455,2025-03-30T15:00:00+02:00,2.35,0.0,0.0,0.0,0.0,1.255
43455,2025-03-30T16:00:00+02:00,2.421,0.0,0.0,0.0,0.0,1.165
43455,2025-03-30T17:00:00+02:00,2.362,0.0,0.0,0.0,0.0,1.245
43455,2025-03-30T18:00:00+02:00,2.366,0.0,0.0,0.0,0.0,1.132
43455,2025-03-30T19:00:00+02:00,2.392,0.0,0.0,0.0,0.0,1.254
43455,2025-03-30T20:00:00+02:00,2.466,0.0,0.0,0.0,0.0,1.251
43455,2025-03-30T21:00:00+02:00,3.666,0.0,0.0,0.0,0.0,1.282
43455,2025-03-30T22:00:00+02:00,4.612,0.0,0.0,0.0,0.0,1.263
43455,2025-03-30T23:00:00+02:00,4.505,0.0,0.0,0.0,0.0,1.255
43455,2025-03-31T00:00:00+02:00,4.611,0.0,0.0,0.0,0.0,1.303
9228,2025-03-30T01:00:00+01:00,0.197,0.0,0.002,0.0,0.0,0.151
9228,2025-03-30T03:00:00+02:00,0.187,0.0,0.0,0.0,0.0,0.154
9228,2025-03-30T04:00:00+02:00,0.184,0.0,0.0,0.0,0.0,0.155
9228,2025-03-30T05:00:00+02:00,0.196,0.0,0.0,0.0,0.0,0.156
9228,2025-03-30T06:00:00+02:00,0.188,0.0,0.0,0.0,0.0,0.155
