IdMeasurePoint;Timestamp;Season;Imported;Exported;R1;R2;R3;R4
40294;2025-04-03T01:00:00+02:00;E;1,216;0,000;0,590;0,000;0,000;0,000
40294;2025-04-03T02:00:00+02:00;E;1,001;0,000;0,475;0,000;0,000;0,000
40294;2025-04-03T03:00:00+02:00;E;0,982;0,000;0,425;0,000;0,000;0,000
40294;2025-04-03T04:00:00+02:00;E;1,358;0,000;0,780;0,000;0,000;0,000
40294;2025-04-03T05:00:00+02:00;E;5,248;0,000;3,539;0,000;0,000;0,000
40294;2025-04-03T06:00:00+02:00;E;5,712;0,000;3,313;0,000;0,000;0,000
40294;2025-04-03T07:00:00+02:00;E;2,199;0,000;0,797;0,000;0,000;0,000
40294;2025-04-03T08:00:00+02:00;E;0,887;0,000;0,403;0,000;0,000;0,000
40294;2025-04-03T09:00:00+02:00;E;4,771;0,000;0,603;0,000;0,000;0,000
40294;2025-04-03T10:00:00+02:00;E;3,358;0,000;0,997;0,000;0,000;0,000
40294;2025-04-03T11:00:00+02:00;E;2,110;0,000;1,342;0,000;0,000;0,000
40294;2025-04-03T12:00:00+02:00;E;2,123;0,000;1,366;0,000;0,000;0,000
40294;2025-04-03T13:00:00+02:00;E;2,123;0,000;1,324;0,000;0,000;0,000
40294;2025-04-03T14:00:00+02:00;E;2,160;0,000;1,354;0,000;0,000;0,000
40294;2025-04-03T15:00:00+02:00;E;2,331;0,000;1,561;0,000;0,000;0,000
40294;2025-04-03T16:00:00+02:00;E;3,283;0,000;1,746;0,000;0,000;0,000
40294;2025-04-03T17:00:00+02:00;E;5,783;0,000;1,186;0,000;0,000;0,000
40294;2025-04-03T18:00:00+02:00;E;6,726;0,000;1,172;0,000;0,000;0,000
40294;2025-04-03T19:00:00+02:00;E;6,976;0,000;0,781;0,000;0,000;0,000
40294;2025-04-03T20:00:00+02:00;E;7,251;0,000;1,046;0,000;0,000;0,000
40294;2025-04-03T21:00:00+02:00;E;9,393;0,000;2,086;0,000;0,000;0,000
40294;2025-04-03T22:00:00+02:00;E;9,154;0,000;1,802;0,000;0,000;0,000
40294;2025-04-03T23:00:00+02:00;E;5,413;0,000;1,746;0,000;0,000;0,000
40294;2025-04-04T00:00:00+02:00;E;2,241;0,000;1,149;0,000;0,000;0,000
43455;2025-04-03T01:00:00+02:00;E;4,594;0,000;0,000;0,000;0,000;1,240
43455;2025-04-03T02:00:00+02:00;E;4,483;0,000;0,000;0,000;0,000;1,361
43455;2025-04-03T03:00:00+02:00;E;4,651;0,000;0,000;0,000;0,000;1,207
43455;2025-04-03T04:00:00+02:00;E;4,455;0,000;0,000;0,000;0,000;1,340
43455;2025-04-03T05:00:00+02:00;E;4,579;0,000;0,000;0,000;0,000;1,226
43455;2025-04-03T06:00:00+02:00;E;4,427;0,000;0,000;0,000;0,000;1,345
43455;2025-04-03T07:00:00+02:00;E;6,172;0,000;0,759;0,000;0,000;0,042
43455;2025-04-03T08:00:00+02:00;E;18,662;0,000;6,097;0,000;0,000;0,000
43455;2025-04-03T09:00:00+02:00;E;26,777;0,000;15,215;0,000;0,000;0,000
43455;2025-04-03T10:00:00+02:00;E;22,428;0,000;11,705;0,000;0,000;0,000
43455;2025-04-03T11:00:00+02:00;E;16,224;0,000;6,207;0,000;0,000;0,000
43455;2025-04-03T12:00:00+02:00;E;23,767;0,000;10,869;0,000;0,000;0,000
43455;2025-04-03T13:00:00+02:00;E;17,641;0,000;6,183;0,000;0,000;0,000
43455;2025-04-03T14:00:00+02:00;E;18,142;0,000;7,911;0,000;0,000;0,000
43455;2025-04-03T15:00:00+02:00;E;14,413;0,000;6,153;0,000;0,000;0,000
43455;2025-04-03T16:00:00+02:00;E;8,438;0,000;2,485;0,000;0,000;0,000
43455;2025-04-03T17:00:00+02:00;E;5,678;0,000;1,575;0,000;0,000;0,113
43455;2025-04-03T18:00:00+02:00;E;5,386;0,000;1,492;0,000;0,000;0,151
43455;2025-04-03T19:00:00+02:00;E;5,463;0,000;0,180;0,000;0,000;0,093
43455;2025-04-03T20:00:00+02:00;E;4,923;0,000;0,268;0,000;0,000;0,228
43455;2025-04-03T21:00:00+02:00;E;6,116;0,000;0,040;0,000;0,000;0,295
43455;2025-04-03T22:00:00+02:00;E;5,081;0,000;0,000;0,000;0,000;1,229
43455;2025-04-03T23:00:00+02:00;E;4,517;0,000;0,000;0,000;0,000;1,256
43455;2025-04-04T00:00:00+02:00;E;4,519;0,000;0,000;0,000;0,000;1,291
9228;2025-04-03T01:00:00+02:00;E;0,184;0,000;0,000;0,000;0,000;0,160
9228;2025-04-03T02:00:00+02:00;E;0,185;0,000;0,000;0,000;0,000;0,158
9228;2025-04-03T03:00:00+02:00;E;0,181;0,000;0,000;0,000;0,000;0,159
9228;2025-04-03T04:00:00+02:00;E;0,188;0,000;0,000;0,000;0,000;0,159
9228;2025-04-03T05:00:00+02:00;E;0,160;0,000;0,002;0,000;0,000;0,156
9228;2025-04-03T06:00:00+02:00;E;0,130;0,000;0,000;0,000;0,000;0,159
9228;2025-04-03T07:00:00+02:00;E;0,147;0,000;0,001;0,000;0,000;0,154
9228;2025-04-03T08:00:00+02:00;E;0,113;0,002;0,000;0,000;0,008;0,122
9228;2025-04-03T09:00:00+02:00;E;0,000;0,222;0,000;0,000;0,080;0,000
9228;2025-04-03T10:00:00+02:00;E;0,291;0,604;0,004;0,001;0,054;0,021
9228;2025-04-03T11:00:00+02:00;E;0,147;0,989;0,000;0,004;0,066;0,012
9228;2025-04-03T12:00:00+02:00;E;0,001;1,387;0,001;0,004;0,061;0,000
9228;2025-04-03T13:00:00+02:00;E;0,007;1,481;0,002;0,006;0,055;0,002
9228;2025-04-03T14:00:00+02:00;E;0,000;1,862;0,000;0,002;0,077;0,000
9228;2025-04-03T15:00:00+02:00;E;0,000;1,813;0,000;0,009;0,083;0,000
9228;2025-04-03T16:00:00+02:00;E;0,078;1,208;0,003;0,001;0,080;0,003
9228;2025-04-03T17:00:00+02:00;E;0,014;0,799;0,014;0,002;0,075;0,000
9228;2025-04-03T18:00:00+02:00;E;0,020;0,521;0,022;0,018;0,072;0,000
9228;2025-04-03T19:00:00+02:00;E;0,005;0,161;0,000;0,000;0,082;0,004
9228;2025-04-03T20:00:00+02:00;E;0,074;0,026;0,000;0,000;0,027;0,059
9228;2025-04-03T21:00:00+02:00;E;0,259;0,000;0,000;0,000;0,000;0,145
9228;2025-04-03T22:00:00+02:00;E;0,266;0,000;0,002;0,000;0,000;0,163
9228;2025-04-03T23:00:00+02:00;E;0,212;0,000;0,000;0,000;0,000;0,162
9228;2025-04-04T00:00:00+02:00;E;0,181;0,000;0,000;0,000;0,000;0,154
10382;2025-04-03T01:00:00+02:00;E;0,205;0,000;0,000;0,000;0,000;0,242
10382;2025-04-03T02:00:00+02:00;E;0,107;0,000;0,000;0,000;0,000;0,376
10382;2025-04-03T03:00:00+02:00;E;0,096;0,000;0,000;0,000;0,000;0,381
10382;2025-04-03T04:00:00+02:00;E;0,102;0,000;0,000;0,000;0,000;0,379
10382;2025-04-03T05:00:00+02:00;E;0,138;0,000;0,000;0,000;0,000;0,376
10382;2025-04-03T06:00:00+02:00;E;0,138;0,000;0,000;0,000;0,000;0,372
10382;2025-04-03T07:00:00+02:00;E;0,360;0,000;0,024;0,000;0,000;0,275
10382;2025-04-03T08:00:00+02:00;E;0,440;0,000;0,000;0,000;0,000;0,216
10382;2025-04-03T09:00:00+02:00;E;0,100;0,000;0,000;0,000;0,000;0,352
10382;2025-04-03T10:00:00+02:00;E;0,117;0,000;0,000;0,000;0,000;0,379
10382;2025-04-03T11:00:00+02:00;E;0,105;0,000;0,000;0,000;0,000;0,389
10382;2025-04-03T12:00:00+02:00;E;0,109;0,000;0,000;0,000;0,000;0,384
10382;2025-04-03T13:00:00+02:00;E;0,132;0,000;0,000;0,000;0,000;0,379
10382;2025-04-03T14:00:00+02:00;E;0,115;0,000;0,000;0,000;0,000;0,380
10382;2025-04-03T15:00:00+02:00;E;0,109;0,000;0,000;0,000;0,000;0,393
10382;2025-04-03T16:00:00+02:00;E;0,116;0,000;0,000;0,000;0,000;0,386
10382;2025-04-03T17:00:00+02:00;E;0,122;0,000;0,000;0,000;0,000;0,383
10382;2025-04-03T18:00:00+02:00;E;0,119;0,000;0,000;0,000;0,000;0,377
10382;2025-04-03T19:00:00+02:00;E;0,132;0,000;0,000;0,000;0,000;0,381
10382;2025-04-03T20:00:00+02:00;E;0,200;0,000;0,000;0,000;0,000;0,377
10382;2025-04-03T21:00:00+02:00;E;0,240;0,000;0,000;0,000;0,000;0,383
10382;2025-04-03T22:00:00+02:00;E;0,278;0,000;0,000;0,000;0,000;0,395
10382;2025-04-03T23:00:00+02:00;E;0,348;0,000;0,000;0,000;0,000;0,413
10382;2025-04-04T00:00:00+02:00;E;0,258;0,000;0,000;0,000;0,000;0,365
24065;2025-04-03T01:00:00+02:00;E;4,184;0,000;0,000;0,000;0,000;0,661
24065;2025-04-03T02:00:00+02:00;E;3,605;0,000;0,001;0,000;0,000;0,440
24065;2025-04-03T03:00:00+02:00;E;0,194;0,000;0,005;0,000;0,000;0,049
24065;2025-04-03T04:00:00+02:00;E;0,175;0,000;0,004;0,000;0,000;0,052
24065;2025-04-03T05:00:00+02:00;E;0,260;0,000;0,003;0,000;0,000;0,055
24065;2025-04-03T06:00:00+02:00;E;0,170;0,000;0,003;0,000;0,000;0,052
24065;2025-04-03T07:00:00+02:00;E;0,383;0,000;0,120;0,000;0,000;0,035
24065;2025-04-03T08:00:00+02:00;E;1,077;0,000;0,335;0,000;0,000;0,000
24065;2025-04-03T09:00:00+02:00;E;0,955;0,000;0,328;0,000;0,000;0,001
24065;2025-04-03T10:00:00+02:00;E;0,456;0,000;0,350;0,000;0,000;0,000
24065;2025-04-03T11:00:00+02:00;E;0,546;0,010;0,323;0,051;0,000;0,000
24065;2025-04-03T12:00:00+02:00;E;0,191;0,081;0,222;0,157;0,000;0,000
24065;2025-04-03T13:00:00+02:00;E;0,036;0,230;0,062;0,308;0,000;0,000
24065;2025-04-03T14:00:00+02:00;E;0,020;0,110;0,105;0,276;0,000;0,000
24065;2025-04-03T15:00:00+02:00;E;0,311;0,108;0,109;0,259;0,000;0,000
24065;2025-04-03T16:00:00+02:00;E;0,175;0,007;0,340;0,050;0,000;0,000
24065;2025-04-03T17:00:00+02:00;E;0,447;0,002;0,377;0,009;0,000;0,000
24065;2025-04-03T18:00:00+02:00;E;0,530;0,000;0,341;0,000;0,000;0,000
24065;2025-04-03T19:00:00+02:00;E;0,713;0,000;0,344;0,000;0,000;0,000
24065;2025-04-03T20:00:00+02:00;E;1,154;0,000;0,301;0,000;0,000;0,005
24065;2025-04-03T21:00:00+02:00;E;0,691;0,000;0,005;0,000;0,000;0,079
24065;2025-04-03T22:00:00+02:00;E;0,928;0,000;0,003;0,000;0,000;0,063
24065;2025-04-03T23:00:00+02:00;E;0,926;0,000;0,005;0,000;0,000;0,043
24065;2025-04-04T00:00:00+02:00;E;0,391;0,000;0,002;0,000;0,000;0,060
20387;2025-04-03T01:00:00+02:00;E;0,016;0,000;0,005;0,000;0,000;0,000
20387;2025-04-03T02:00:00+02:00;E;0,015;0,000;0,003;0,000;0,000;0,000
20387;2025-04-03T03:00:00+02:00;E;0,015;0,000;0,005;0,000;0,000;0,000
20387;2025-04-03T04:00:00+02:00;E;0,015;0,000;0,004;0,000;0,000;0,000
20387;2025-04-03T05:00:00+02:00;E;0,015;0,000;0,004;0,000;0,000;0,000
20387;2025-04-03T06:00:00+02:00;E;0,017;0,000;0,003;0,000;0,000;0,001
20387;2025-04-03T07:00:00+02:00;E;0,019;0,000;0,003;0,000;0,000;0,003
20387;2025-04-03T08:00:00+02:00;E;0,017;0,000;0,003;0,000;0,000;0,001
20387;2025-04-03T09:00:00+02:00;E;0,015;0,000;0,003;0,000;0,000;0,000
20387;2025-04-03T10:00:00+02:00;E;0,015;0,000;0,004;0,000;0,000;0,000
20387;2025-04-03T11:00:00+02:00;E;0,015;0,000;0,003;0,000;0,000;0,000
20387;2025-04-03T12:00:00+02:00;E;0,015;0,000;0,004;0,000;0,000;0,000
20387;2025-04-03T13:00:00+02:00;E;0,015;0,000;0,004;0,000;0,000;0,000
20387;2025-04-03T14:00:00+02:00;E;0,016;0,000;0,004;0,000;0,000;0,000
20387;2025-04-03T15:00:00+02:00;E;0,015;0,000;0,004;0,000;0,000;0,000
20387;2025-04-03T16:00:00+02:00;E;0,015;0,000;0,004;0,000;0,000;0,000
20387;2025-04-03T17:00:00+02:00;E;0,016;0,000;0,004;0,000;0,000;0,000
20387;2025-04-03T18:00:00+02:00;E;0,015;0,000;0,003;0,000;0,000;0,000
20387;2025-04-03T19:00:00+02:00;E;0,015;0,000;0,003;0,000;0,000;0,000
20387;2025-04-03T20:00:00+02:00;E;0,015;0,000;0,004;0,000;0,000;0,000
20387;2025-04-03T21:00:00+02:00;E;0,015;0,000;0,003;0,000;0,000;0,000
20387;2025-04-03T22:00:00+02:00;E;0,018;0,000;0,002;0,000;0,000;0,002
20387;2025-04-03T23:00:00+02:00;E;0,017;0,000;0,004;0,000;0,000;0,001
20387;2025-04-04T00:00:00+02:00;E;0,015;0,000;0,004;0,000;0,000;0,000
18558;2025-04-03T01:00:00+02:00;E;0,080;0,000;0,000;0,000;0,000;0,044
18558;2025-04-03T02:00:00+02:00;E;0,080;0,000;0,000;0,000;0,000;0,042
18558;2025-04-03T03:00:00+02:00;E;0,057;0,000;0,000;0,000;0,000;0,049
18558;2025-04-03T04:00:00+02:00;E;0,087;0,000;0,000;0,000;0,000;0,042
18558;2025-04-03T05:00:00+02:00;E;0,058;0,000;0,000;0,000;0,000;0,049
18558;2025-04-03T06:00:00+02:00;E;0,079;0,000;0,000;0,000;0,000;0,044
18558;2025-04-03T07:00:00+02:00;E;0,078;0,000;0,000;0,000;0,000;0,043
18558;2025-04-03T08:00:00+02:00;E;0,069;0,000;0,000;0,000;0,000;0,052
18558;2025-04-03T09:00:00+02:00;E;0,101;0,000;0,000;0,000;0,000;0,045
18558;2025-04-03T10:00:00+02:00;E;0,148;0,000;0,000;0,000;0,000;0,061
18558;2025-04-03T11:00:00+02:00;E;0,247;0,000;0,000;0,000;0,000;0,061
18558;2025-04-03T12:00:00+02:00;E;0,183;0,000;0,001;0,000;0,000;0,046
18558;2025-04-03T13:00:00+02:00;E;0,172;0,000;0,000;0,000;0,000;0,057
18558;2025-04-03T14:00:00+02:00;E;0,220;0,000;0,022;0,000;0,000;0,059
18558;2025-04-03T15:00:00+02:00;E;0,176;0,000;0,000;0,000;0,000;0,057
18558;2025-04-03T16:00:00+02:00;E;0,143;0,000;0,000;0,000;0,000;0,064
18558;2025-04-03T17:00:00+02:00;E;0,175;0,000;0,000;0,000;0,000;0,056
18558;2025-04-03T18:00:00+02:00;E;0,146;0,000;0,000;0,000;0,000;0,063
18558;2025-04-03T19:00:00+02:00;E;0,170;0,000;0,000;0,000;0,000;0,056
18558;2025-04-03T20:00:00+02:00;E;0,166;0,000;0,000;0,000;0,000;0,057
18558;2025-04-03T21:00:00+02:00;E;0,149;0,000;0,000;0,000;0,000;0,063
18558;2025-04-03T22:00:00+02:00;E;0,178;0,000;0,000;0,000;0,000;0,062
18558;2025-04-03T23:00:00+02:00;E;0,097;0,000;0,000;0,000;0,000;0,056
18558;2025-04-04T00:00:00+02:00;E;0,075;0,000;0,000;0,000;0,000;0,045
18285;2025-04-03T01:00:00+02:00;E;0,039;0,000;0,000;0,000;0,000;0,115
18285;2025-04-03T02:00:00+02:00;E;0,055;0,000;0,000;0,000;0,000;0,111
18285;2025-04-03T03:00:00+02:00;E;0,030;0,000;0,000;0,000;0,000;0,117
18285;2025-04-03T04:00:00+02:00;E;0,047;0,000;0,000;0,000;0,000;0,115
18285;2025-04-03T05:00:00+02:00;E;0,032;0,000;0,000;0,000;0,000;0,116
18285;2025-04-03T06:00:00+02:00;E;0,032;0,000;0,000;0,000;0,000;0,117
18285;2025-04-03T07:00:00+02:00;E;0,064;0,000;0,000;0,000;0,000;0,109
18285;2025-04-03T08:00:00+02:00;E;0,243;0,000;0,000;0,000;0,000;0,158
18285;2025-04-03T09:00:00+02:00;E;0,495;0,000;0,000;0,000;0,000;0,173
18285;2025-04-03T10:00:00+02:00;E;0,457;0,000;0,000;0,000;0,000;0,185
18285;2025-04-03T11:00:00+02:00;E;0,423;0,000;0,000;0,000;0,000;0,184
18285;2025-04-03T12:00:00+02:00;E;0,374;0,000;0,000;0,000;0,000;0,171
18285;2025-04-03T13:00:00+02:00;E;0,337;0,000;0,000;0,000;0,000;0,146
18285;2025-04-03T14:00:00+02:00;E;0,240;0,000;0,000;0,000;0,000;0,145
18285;2025-04-03T15:00:00+02:00;E;0,391;0,000;0,000;0,000;0,000;0,165
18285;2025-04-03T16:00:00+02:00;E;0,116;0,000;0,000;0,000;0,000;0,121
18285;2025-04-03T17:00:00+02:00;E;0,067;0,000;0,000;0,000;0,000;0,119
18285;2025-04-03T18:00:00+02:00;E;0,053;0,000;0,000;0,000;0,000;0,112
