IdMeasurePoint,Timestamp,Imported,Exported,R1,R2,R3,R4
40294,2025-04-07T01:00:00+02:00,1.251,0.0,0.567,0.0,0.0,0.0
40294,2025-04-07T02:00:00+02:00,1.06,0.0,0.532,0.0,0.0,0.0
40294,2025-04-07T03:00:00+02:00,1.165,0.0,0.672,0.0,0.0,0.0
40294,2025-04-07T04:00:00+02:00,1.263,0.0,0.713,0.0,0.0,0.0
40294,2025-04-07T05:00:00+02:00,5.145,0.0,3.715,0.0,0.0,0.0
40294,2025-04-07T06:00:00+02:00,4.823,0.0,3.361,0.0,0.0,0.0
40294,2025-04-07T07:00:00+02:00,0.858,0.0,0.481,0.0,0.0,0.0
40294,2025-04-07T08:00:00+02:00,2.228,0.0,0.444,0.0,0.0,0.001
40294,2025-04-07T09:00:00+02:00,5.147,0.0,0.747,0.0,0.0,0.0
40294,2025-04-07T10:00:00+02:00,5.485,0.0,0.832,0.0,0.0,0.0
40294,2025-04-07T11:00:00+02:00,5.579,0.0,0.88,0.0,0.0,0.0
40294,2025-04-07T12:00:00+02:00,5.63,0.0,1.054,0.0,0.0,0.0
40294,2025-04-07T13:00:00+02:00,5.533,0.0,0.975,0.0,0.0,0.0
40294,2025-04-07T14:00:00+02:00,5.277,0.0,0.81,0.0,0.0,0.0
40294,2025-04-07T15:00:00+02:00,3.269,0.0,1.491,0.0,0.0,0.0
40294,2025-04-07T16:00:00+02:00,5.61,0.0,1.095,0.0,0.0,0.0
40294,2025-04-07T17:00:00+02:00,6.205,0.0,1.035,0.0,0.0,0.0
40294,2025-04-07T18:00:00+02:00,5.706,0.0,1.196,0.0,0.0,0.0
40294,2025-04-07T19:00:00+02:00,5.777,0.0,1.123,0.0,0.0,0.0
40294,2025-04-07T20:00:00+02:00,7.273,0.0,1.334,0.0,0.0,0.0
40294,2025-04-07T21:00:00+02:00,10.342,0.0,3.294,0.0,0.0,0.0
40294,2025-04-07T22:00:00+02:00,7.981,0.0,2.463,0.0,0.0,0.0
40294,2025-04-07T23:00:00+02:00,3.405,0.0,1.838,0.0,0.0,0.0
40294,2025-04-08T00:00:00+02:00,2.201,0.0,1.278,0.0,0.0,0.0
43455,2025-04-07T01:00:00+02:00,4.612,0.0,0.0,0.0,0.0,1.24
43455,2025-04-07T02:00:00+02:00,4.925,0.0,0.0,0.0,0.0,0.922
43455,2025-04-07T03:00:00+02:00,4.557,0.0,0.0,0.0,0.0,1.243
43455,2025-04-07T04:00:00+02:00,4.666,0.0,0.0,0.0,0.0,1.221
43455,2025-04-07T05:00:00+02:00,4.913,0.0,0.012,0.0,0.0,0.947
43455,2025-04-07T06:00:00+02:00,4.616,0.0,0.0,0.0,0.0,1.232
43455,2025-04-07T07:00:00+02:00,6.578,0.0,0.668,0.0,0.0,0.089
43455,2025-04-07T08:00:00+02:00,16.916,0.0,6.373,0.0,0.0,0.0
43455,2025-04-07T09:00:00+02:00,28.08,0.0,15.179,0.0,0.0,0.0
43455,2025-04-07T10:00:00+02:00,24.362,0.0,13.338,0.0,0.0,0.0
43455,2025-04-07T11:00:00+02:00,16.808,0.0,5.843,0.0,0.0,0.0
43455,2025-04-07T12:00:00+02:00,19.709,0.0,8.34,0.0,0.0,0.0
43455,2025-04-07T13:00:00+02:00,17.359,0.0,7.629,0.0,0.0,0.0
43455,2025-04-07T14:00:00+02:00,21.237,0.0,8.559,0.0,0.0,0.0
43455,2025-04-07T15:00:00+02:00,15.503,0.0,5.227,0.0,0.0,0.0
43455,2025-04-07T16:00:00+02:00,8.634,0.0,2.474,0.0,0.0,0.0
43455,2025-04-07T17:00:00+02:00,6.972,0.0,0.882,0.0,0.0,0.187
43455,2025-04-07T18:00:00+02:00,6.059,0.0,0.498,0.0,0.0,0.252
43455,2025-04-07T19:00:00+02:00,4.193,0.0,0.006,0.0,0.0,0.877
43455,2025-04-07T20:00:00+02:00,5.53,0.0,0.377,0.0,0.0,0.177
43455,2025-04-07T21:00:00+02:00,5.131,0.0,0.0,0.0,0.0,1.369
43455,2025-04-07T22:00:00+02:00,5.213,0.0,0.0,0.0,0.0,1.166
43455,2025-04-07T23:00:00+02:00,4.731,0.0,0.0,0.0,0.0,1.104
43455,2025-04-08T00:00:00+02:00,4.869,0.0,0.0,0.0,0.0,1.205
24065,2025-04-07T01:00:00+02:00,0.382,0.0,0.001,0.0,0.0,0.068
24065,2025-04-07T02:00:00+02:00,0.895,0.0,0.001,0.0,0.0,0.079
24065,2025-04-07T03:00:00+02:00,0.638,0.0,0.001,0.0,0.0,0.067
24065,2025-04-07T04:00:00+02:00,0.173,0.0,0.002,0.0,0.0,0.061
24065,2025-04-07T05:00:00+02:00,0.198,0.0,0.006,0.0,0.0,0.059
24065,2025-04-07T06:00:00+02:00,0.176,0.0,0.003,0.0,0.0,0.059
24065,2025-04-07T07:00:00+02:00,0.374,0.0,0.118,0.0,0.0,0.041
24065,2025-04-07T08:00:00+02:00,0.927,0.0,0.335,0.0,0.0,0.0
24065,2025-04-07T09:00:00+02:00,0.623,0.0,0.353,0.0,0.0,0.0
24065,2025-04-07T10:00:00+02:00,0.37,0.0,0.358,0.0,0.0,0.0
24065,2025-04-07T11:00:00+02:00,0.026,0.028,0.15,0.203,0.0,0.0
24065,2025-04-07T12:00:00+02:00,0.067,0.209,0.033,0.316,0.0,0.0
24065,2025-04-07T13:00:00+02:00,0.002,0.288,0.002,0.361,0.0,0.0
24065,2025-04-07T14:00:00+02:00,0.001,0.284,0.001,0.371,0.0,0.0
24065,2025-04-07T15:00:00+02:00,0.167,0.211,0.121,0.251,0.0,0.0
24065,2025-04-07T16:00:00+02:00,0.356,0.077,0.235,0.121,0.0,0.0
24065,2025-04-07T17:00:00+02:00,0.411,0.015,0.317,0.053,0.0,0.0
24065,2025-04-07T18:00:00+02:00,0.622,0.0,0.36,0.0,0.0,0.0
24065,2025-04-07T19:00:00+02:00,0.759,0.0,0.357,0.0,0.0,0.0
24065,2025-04-07T20:00:00+02:00,1.795,0.0,0.354,0.0,0.0,0.012
24065,2025-04-07T21:00:00+02:00,0.384,0.0,0.001,0.0,0.0,0.091
24065,2025-04-07T22:00:00+02:00,0.464,0.0,0.0,0.0,0.0,0.109
24065,2025-04-07T23:00:00+02:00,0.34,0.0,0.001,0.0,0.0,0.076
24065,2025-04-08T00:00:00+02:00,0.163,0.0,0.002,0.0,0.0,0.061
9228,2025-04-07T01:00:00+02:00,1.046,0.0,0.737,0.0,0.0,0.007
9228,2025-04-07T02:00:00+02:00,0.322,0.0,0.117,0.0,0.0,0.139
9228,2025-04-07T03:00:00+02:00,0.195,0.0,0.0,0.0,0.0,0.162
9228,2025-04-07T04:00:00+02:00,0.198,0.0,0.0,0.0,0.0,0.162
9228,2025-04-07T05:00:00+02:00,0.241,0.0,0.0,0.0,0.0,0.162
9228,2025-04-07T06:00:00+02:00,0.184,0.0,0.0,0.0,0.0,0.158
9228,2025-04-07T07:00:00+02:00,0.192,0.0,0.002,0.0,0.0,0.153
9228,2025-04-07T08:00:00+02:00,0.111,0.003,0.005,0.0,0.009,0.107
