IdMeasurePoint;Timestamp;Season;Imported;Exported;R1;R2;R3;R4
40294;2025-04-07T01:00:00+02:00;E;1,251;0,000;0,567;0,000;0,000;0,000
40294;2025-04-07T02:00:00+02:00;E;1,060;0,000;0,532;0,000;0,000;0,000
40294;2025-04-07T03:00:00+02:00;E;1,165;0,000;0,672;0,000;0,000;0,000
40294;2025-04-07T04:00:00+02:00;E;1,263;0,000;0,713;0,000;0,000;0,000
40294;2025-04-07T05:00:00+02:00;E;5,145;0,000;3,715;0,000;0,000;0,000
40294;2025-04-07T06:00:00+02:00;E;4,823;0,000;3,361;0,000;0,000;0,000
40294;2025-04-07T07:00:00+02:00;E;0,858;0,000;0,481;0,000;0,000;0,000
40294;2025-04-07T08:00:00+02:00;E;2,228;0,000;0,444;0,000;0,000;0,001
40294;2025-04-07T09:00:00+02:00;E;5,147;0,000;0,747;0,000;0,000;0,000
40294;2025-04-07T10:00:00+02:00;E;5,485;0,000;0,832;0,000;0,000;0,000
40294;2025-04-07T11:00:00+02:00;E;5,579;0,000;0,880;0,000;0,000;0,000
40294;2025-04-07T12:00:00+02:00;E;5,630;0,000;1,054;0,000;0,000;0,000
40294;2025-04-07T13:00:00+02:00;E;5,533;0,000;0,975;0,000;0,000;0,000
40294;2025-04-07T14:00:00+02:00;E;5,277;0,000;0,810;0,000;0,000;0,000
40294;2025-04-07T15:00:00+02:00;E;3,269;0,000;1,491;0,000;0,000;0,000
40294;2025-04-07T16:00:00+02:00;E;5,610;0,000;1,095;0,000;0,000;0,000
40294;2025-04-07T17:00:00+02:00;E;6,205;0,000;1,035;0,000;0,000;0,000
40294;2025-04-07T18:00:00+02:00;E;5,706;0,000;1,196;0,000;0,000;0,000
40294;2025-04-07T19:00:00+02:00;E;5,777;0,000;1,123;0,000;0,000;0,000
40294;2025-04-07T20:00:00+02:00;E;7,273;0,000;1,334;0,000;0,000;0,000
40294;2025-04-07T21:00:00+02:00;E;10,342;0,000;3,294;0,000;0,000;0,000
40294;2025-04-07T22:00:00+02:00;E;7,981;0,000;2,463;0,000;0,000;0,000
40294;2025-04-07T23:00:00+02:00;E;3,405;0,000;1,838;0,000;0,000;0,000
40294;2025-04-08T00:00:00+02:00;E;2,201;0,000;1,278;0,000;0,000;0,000
43455;2025-04-07T01:00:00+02:00;E;4,612;0,000;0,000;0,000;0,000;1,240
